,Date,Open,High,Low,Close,NH20,NH60,NH200,NH250,NL20,NL60,NL200,NL250,diffNHNL20d,RatioNHNL200d,Threshold_line,diffShortNHNL,diffLongNHNL,diffShortLongNHNL,diffShortLongNHNL_MA120,Advanced,Unchanged,Declined,Total,AD Line
242,2021-11-08,1631.3399658203125,1635.6199951171875,1621.3499755859375,1626.1300048828125,33,17,10,9,50,18,3,2,-2.503681885125184,0.8705234243740436,0.8835630070315893,-1,7,-8,-3.2,210,175,262,647,-39.97484113539578
243,2021-11-09,1626.800048828125,1633.760009765625,1623.6400146484375,1631.68994140625,28,19,11,11,27,9,1,1,0.14727540500736377,0.8709863873370065,0.8830213398442432,10,10,0,-2.658333333333333,309,192,148,649,-39.06149733857461
244,2021-11-10,1627.6700439453125,1633.4300537109375,1625.1300048828125,1630.469970703125,30,17,9,9,20,10,1,1,1.4727540500736378,0.8793197206703399,0.8827587731859978,7,8,-1,-2.6666666666666665,265,204,186,655,-38.44071891300029
245,2021-11-11,1629.280029296875,1634.43994140625,1626.800048828125,1632.43994140625,48,23,9,8,23,8,3,2,3.681885125184094,0.8869177598860262,0.8827806047698078,15,6,9,-2.466666666666667,237,176,237,650,-38.44071891300029
246,2021-11-12,1636.6300048828125,1640.6600341796875,1632.8800048828125,1633.93994140625,61,39,21,21,23,9,2,0,5.596465390279823,0.8880325870878099,0.882863751849716,30,19,11,-2.4,260,174,213,647,-37.92248013736552
247,2021-11-15,1636.4100341796875,1642.5999755859375,1635.219970703125,1638.72998046875,57,34,16,15,49,17,3,2,1.1782032400589102,0.8854010081404414,0.8828948693458608,17,13,4,-2.3666666666666667,204,165,282,651,-38.60795772129681
248,2021-11-16,1642.050048828125,1648.4300537109375,1639.0799560546875,1644.010009765625,68,47,24,24,31,12,1,1,5.44918998527246,0.8847343414737747,0.8829064582224769,35,23,12,-2.283333333333333,240,182,228,650,-38.35188396143102
249,2021-11-17,1646.8599853515625,1651.510009765625,1642.3599853515625,1644.5999755859375,60,31,11,11,25,7,3,3,5.154639175257732,0.8811629129023462,0.8828411621784582,24,8,16,-2.15,211,194,247,652,-38.78155288585468
250,2021-11-18,1643.3900146484375,1653.6800537109375,1642.5,1651.02001953125,62,39,18,17,28,12,0,0,5.007363770250368,0.8811629129023462,0.882731421689995,27,18,9,-2.075,306,210,136,652,-37.883952081604
251,2021-11-19,1653.3599853515625,1656.27001953125,1641.52001953125,1645.06005859375,56,34,17,17,16,5,2,2,5.891016200294551,0.8794085269374339,0.8825659864089949,29,15,14,-1.9916666666666667,196,185,270,651,-38.514705173047545
252,2021-11-22,1648.1400146484375,1653.3299560546875,1645.0899658203125,1649.5400390625,62,38,18,17,28,7,0,0,5.007363770250368,0.8794085269374339,0.8823842112587137,31,18,13,-1.9,242,187,222,651,-38.188541136520826
253,2021-11-23,1652.6199951171875,1654.489990234375,1644.02001953125,1646.4200439453125,62,34,18,17,20,6,1,1,6.185567010309279,0.8785313339549777,0.8821878162253916,28,17,11,-1.8083333333333333,212,174,263,649,-38.728382383026286
254,2021-11-24,1650.5400390625,1658.5999755859375,1647.9000244140625,1649.8199462890625,66,37,21,21,13,6,0,0,7.80559646539028,0.8785313339549777,0.8819824606185929,31,21,10,-1.7083333333333333,286,195,170,651,-37.95907312486421
255,2021-11-25,1654.93994140625,1656.4599609375,1644.8699951171875,1648.4599609375,52,28,17,17,24,6,2,2,4.123711340206185,0.8767769479900654,0.8817332453626713,22,15,7,-1.6666666666666667,208,180,267,655,-38.530008191950415
256,2021-11-26,1639.5400390625,1640.9100341796875,1608.550048828125,1610.6099853515625,38,22,10,10,90,37,3,2,-7.658321060382916,0.8729307941439116,0.8814199275426471,-15,7,-22,-1.8666666666666667,81,109,465,655,-40.39840565793807
257,2021-11-29,1608.010009765625,1617.550048828125,1587.780029296875,1589.68994140625,24,18,14,12,176,95,12,8,-22.38586156111929,0.865238486451604,0.8809784045944178,-77,2,-79,-2.525,100,118,440,658,-42.0887141673951
